"section","np","x_over_c","eta","z_over_c","cp","surface","source"
"6","26","0.57991","0.96","0.0421","-0.152","upper","NASA Glenn ONERA M6 test 2308"
"6","25","0.6197","0.96","0.03939","-0.126","upper","NASA Glenn ONERA M6 test 2308"
"6","24","0.65979","0.96","0.03635","-0.104","upper","NASA Glenn ONERA M6 test 2308"
"6","23","0.69976","0.96","0.03308","-0.074","upper","NASA Glenn ONERA M6 test 2308"
"6","22","0.7397","0.96","0.02946","-0.056","upper","NASA Glenn ONERA M6 test 2308"
"6","21","0.77962","0.96","0.02567","-0.027","upper","NASA Glenn ONERA M6 test 2308"
"6","20","0.81965","0.96","0.02154","0.009","upper","NASA Glenn ONERA M6 test 2308"
"6","19","0.8598","0.96","0.01707","0.04","upper","NASA Glenn ONERA M6 test 2308"
"6","18","0.89977","0.96","0.01241","0.072","upper","NASA Glenn ONERA M6 test 2308"
"6","17","0.94861","0.96","0.00742","0.122","upper","NASA Glenn ONERA M6 test 2308"
"6","16","0.98462","0.96","0.00272","0.178","upper","NASA Glenn ONERA M6 test 2308"
"7","15","0.94946","0.99","-0.00735","0.07","lower","NASA Glenn ONERA M6 test 2308"
"7","14","0.84958","0.99","-0.01821","-0.009","lower","NASA Glenn ONERA M6 test 2308"
"7","13","0.75002","0.99","-0.0285","-0.072","lower","NASA Glenn ONERA M6 test 2308"
"7","12","0.64957","0.99","-0.03715","-0.118","lower","NASA Glenn ONERA M6 test 2308"
"7","11","0.54967","0.99","-0.04398","-0.165","lower","NASA Glenn ONERA M6 test 2308"
"7","10","0.4497","0.99","-0.04816","-0.217","lower","NASA Glenn ONERA M6 test 2308"
"7","9","0.34973","0.99","-0.04879","-0.23","lower","NASA Glenn ONERA M6 test 2308"
"7","8","0.24976","0.99","-0.04645","-0.274","lower","NASA Glenn ONERA M6 test 2308"
"7","7","0.14996","0.99","-0.04076","-0.318","lower","NASA Glenn ONERA M6 test 2308"
"7","6","0.10039","0.99","-0.03627","-0.342","lower","NASA Glenn ONERA M6 test 2308"
"7","5","0.06536","0.99","-0.032","-0.376","lower","NASA Glenn ONERA M6 test 2308"
"7","4","0.04025","0.99","-0.02813","-0.336","lower","NASA Glenn ONERA M6 test 2308"
"7","3","0.01985","0.99","-0.02266","-0.227","lower","NASA Glenn ONERA M6 test 2308"
"7","2","0.00578","0.99","-0.01313","0.315","lower","NASA Glenn ONERA M6 test 2308"
"7","1","0.0005","0.99","0.00351","0.636","upper","NASA Glenn ONERA M6 test 2308"
"7","45","0.00193","0.99","0.00757","0.21","upper","NASA Glenn ONERA M6 test 2308"
"7","44","0.0063","0.99","0.01368","-0.254","upper","NASA Glenn ONERA M6 test 2308"
"7","43","0.01265","0.99","0.01889","-0.651","upper","NASA Glenn ONERA M6 test 2308"
"7","42","0.02012","0.99","0.02277","-1.018","upper","NASA Glenn ONERA M6 test 2308"
"7","41","0.02999","0.99","0.02583","-1.244","upper","NASA Glenn ONERA M6 test 2308"
"7","40","0.04995","0.99","0.0297","-1.291","upper","NASA Glenn ONERA M6 test 2308"
"7","39","0.07482","0.99","0.03327","-1.275","upper","NASA Glenn ONERA M6 test 2308"
"7","38","0.0999","0.99","0.03621","-1.209","upper","NASA Glenn ONERA M6 test 2308"
"7","37","0.13976","0.99","0.03995","-0.918","upper","NASA Glenn ONERA M6 test 2308"
"7","36","0.17991","0.99","0.04288","-0.785","upper","NASA Glenn ONERA M6 test 2308"
"7","35","0.2199","0.99","0.04516","-0.245","upper","NASA Glenn ONERA M6 test 2308"
"7","34","0.25976","0.99","0.04682","-0.207","upper","NASA Glenn ONERA M6 test 2308"
"7","33","0.29986","0.99","0.048","-0.219","upper","NASA Glenn ONERA M6 test 2308"
"7","32","0.33979","0.99","0.04868","-0.234","upper","NASA Glenn ONERA M6 test 2308"
"7","31","0.37976","0.99","0.04892","-0.246","upper","NASA Glenn ONERA M6 test 2308"
"7","30","0.41988","0.99","0.04868","-0.272","upper","NASA Glenn ONERA M6 test 2308"
"7","29","0.4597","0.99","0.04789","-0.245","upper","NASA Glenn ONERA M6 test 2308"
"7","28","0.49987","0.99","0.04649","-0.233","upper","NASA Glenn ONERA M6 test 2308"
"7","27","0.53975","0.99","0.04452","-0.213","upper","NASA Glenn ONERA M6 test 2308"
"7","26","0.57985","0.99","0.04214","-0.192","upper","NASA Glenn ONERA M6 test 2308"
"7","25","0.61976","0.99","0.0394","-0.182","upper","NASA Glenn ONERA M6 test 2308"
"7","24","0.65966","0.99","0.03636","-0.176","upper","NASA Glenn ONERA M6 test 2308"
"7","23","0.69979","0.99","0.03308","-0.175","upper","NASA Glenn ONERA M6 test 2308"
"7","22","0.7398","0.99","0.02946","-0.182","upper","NASA Glenn ONERA M6 test 2308"
"7","21","0.77942","0.99","0.0257","-0.195","upper","NASA Glenn ONERA M6 test 2308"
"7","20","0.81985","0.99","0.0215","-0.218","upper","NASA Glenn ONERA M6 test 2308"
"7","19","0.85943","0.99","0.01712","-0.238","upper","NASA Glenn ONERA M6 test 2308"
"7","18","0.89961","0.99","0.01243","-0.256","upper","NASA Glenn ONERA M6 test 2308"
"7","17","0.94959","0.99","0.00733","-0.28","upper","NASA Glenn ONERA M6 test 2308"
"7","16","0.98455","0.99","0.00274","-0.218","upper","NASA Glenn ONERA M6 test 2308"
